TIME STAMP:30
SYSTEM TIME: Thu Oct 18 21:27:22 2018
SYSTEM TIME: Thu Oct 18 21:32:44 2018
,Iteration Computation Time,4
,Number of vehicles available,1000
,Number of pending requests,463

,Average Computation Time,5.32609
,Maximum Computation Time,10
,Service Rate,25.7697
,Service Rate After Re-Balancing,54.6491
,Average Waiting Time,469.345
,Average Total Travel Delay,85.1462
,Average In Car Travel Delay,-450.091
,Occupancy (Passengers/Vehicle),1.60292
,Unassigned Requests Found,264
,Unassigned Vehicles Found,59
,ILP Solve Time,0
,Rebalance Time,1

TIME STAMP:2330
SYSTEM TIME: Thu Oct 18 21:32:49 2018
,Iteration Computation Time,3
,Number of vehicles available,1000
,Number of pending requests,304

,Average Computation Time,5.2766
,Maximum Computation Time,10
,Service Rate,25.3341
,Service Rate After Re-Balancing,53.5926
,Average Waiting Time,470.923
,Average Total Travel Delay,87.2587
,Average In Car Travel Delay,-456.172
,Occupancy (Passengers/Vehicle),1.59981
,Unassigned Requests Found,114
,Unassigned Vehicles Found,57
,ILP Solve Time,0
,Rebalance Time,1

TIME STAMP:2400
SYSTEM TIME: Thu Oct 18 21:32:55 2018
,Iteration Computation Time,4
,Number of vehicles available,1000
,Number of pending requests,478

,Average Computation Time,5.25
,Maximum Computation Time,10
,Service Rate,25.4301
,Service Rate After Re-Balancing,53.5654
,Average Waiting Time,471.32
,Average Total Travel Delay,89.2195
,Average In Car Travel Delay,-462.167
,Occupancy (Passengers/Vehicle),1.59674
,Unassigned Requests Found,253
,Unassigned Vehicles Found,47
,ILP Solve Time,0
,Rebalance Time,2

TIME STAMP:2430
SYSTEM TIME: Thu Oct 18 21:32:59 2018
,Iteration Computation Time,2
,Number of vehicles available,1000
,Number of pending requests,319

,Average Computation Time,5.18367
,Maximum Computation Time,10
,Service Rate,25.0748
,Service Rate After Re-Balancing,52.6483
,Average Waiting Time,473.29
,Average Total Travel Delay,90.7385
,Average In Car Travel Delay,-465.06
,Occupancy (Passengers/Vehicle),1.59364
,Unassigned Requests Found,114
,Unassigned Vehicles Found,42
,ILP Solve Time,0
,Rebalance Time,1

TIME STAMP:2500
SYSTEM TIME: Thu Oct 18 21:33:05 2018
,Iteration Computation Time,4
,Number of vehicles available,1000
,Number of pending requests,462

,Average Computation Time,5.16
,Maximum Computation Time,10
,Service Rate,25.4393
,Service Rate After Re-Balancing,52.8839
,Average Waiting Time,475.516
,Average Total Travel Delay,92.3301
,Average In Car Travel Delay,-468.405
,Occupancy (Passengers/Vehicle),1.59078
,Unassigned Requests Found,247
,Unassigned Vehicles Found,32
,ILP Solve Time,0
,Rebalance Time,1

TIME STAMP:2530
SYSTEM TIME: Thu Oct 18 21:33:10 2018
,Iteration Computation Time,3
,Number of vehicles available,1000
,Number of pending requests,300

,Average Computation Time,5.11765
,Maximum Computation Time,10
,Service Rate,25.0209
,Service Rate After Re-Balancing,51.8316
,Average Waiting Time,475.937
,Average Total Travel Delay,95.4861
,Average In Car Travel Delay,-475.743
,Occupancy (Passengers/Vehicle),1.58794
,Unassigned Requests Found,83
,Unassigned Vehicles Found,34
,ILP Solve Time,0
,Rebalance Time,1

TIME STAMP:2600
SYSTEM TIME: Thu Oct 18 21:33:15 2018
,Iteration Computation Time,3
,Number of vehicles available,1000
,Number of pending requests,476

,Average Computation Time,5.07692
,Maximum Computation Time,10
,Service Rate,25.3124
,Service Rate After Re-Balancing,51.9938
,Average Waiting Time,477.453
,Average Total Travel Delay,97.1373
,Average In Car Travel Delay,-482.249
,Occupancy (Passengers/Vehicle),1.58541
,Unassigned Requests Found,228
,Unassigned Vehicles Found,29
,ILP Solve Time,0
,Rebalance Time,1

TIME STAMP:2630
SYSTEM TIME: Thu Oct 18 21:33:20 2018
,Iteration Computation Time,3
,Number of vehicles available,1000
,Number of pending requests,316

,Average Computation Time,5.03774
,Maximum Computation Time,10
,Service Rate,25.0312
,Service Rate After Re-Balancing,51.0976
,Average Waiting Time,479.249
,Average Total Travel Delay,98.8933
,Average In Car Travel Delay,-486.617
,Occupancy (Passengers/Vehicle),1.58325
,Unassigned Requests Found,92
,Unassigned Vehicles Found,27
,ILP Solve Time,0
,Rebalance Time,1

TIME STAMP:2700
